Years,Population
1700,2000
1739,7000
1780,14000
1811,26700
1840,42200
1847,52300
1856,61600
1860,70000
1863,84400
1870,86000
1916,231800
1923,181500
1926,220000
1931,277455
1933,327500
1939,372002
1956,518000
1959,584092
1962,631000
1967,720000
1982,881000
1985,887000
1986,889000
1987,918000
1989,904683
1990,907000
1991,911000
1992,909000
1993,904000
1999,899000
2001,864400
2002,873055
2003,873100
2004,864600
2005,858000
2006,850100
2010,837900
2015,842097
2020,838042
